iter	Passed	Remaining
0	143	14213
1	149	7328
2	155	5015
3	160	3863
4	166	3162
5	172	2696
6	177	2355
7	182	2094
8	187	1899
9	193	1740
10	198	1609
11	204	1497
12	209	1403
13	214	1320
14	220	1249
15	225	1182
16	231	1128
17	236	1077
18	241	1031
19	247	990
20	253	951
21	258	917
22	263	882
23	268	851
24	274	822
25	279	794
26	284	770
27	290	746
28	295	722
29	300	700
30	305	680
31	311	661
32	316	643
33	322	626
34	327	608
35	333	592
36	338	575
37	343	560
38	349	546
39	355	532
40	360	519
41	366	505
42	371	493
43	377	480
44	383	468
45	388	456
46	394	444
47	399	432
48	405	421
49	411	411
50	417	400
51	422	389
52	427	379
53	432	368
54	438	358
55	443	348
56	448	338
57	453	328
58	459	319
59	464	309
60	470	300
61	475	291
62	481	282
63	486	273
64	490	264
65	496	255
66	501	247
67	507	238
68	512	230
69	517	221
70	522	213
71	528	205
72	533	197
73	538	189
74	544	181
75	549	173
76	555	165
77	561	158
78	566	150
79	573	143
80	578	135
81	584	128
82	589	120
83	594	113
84	599	105
85	605	98
86	610	91
87	616	84
88	621	76
89	626	69
90	631	62
91	637	55
92	643	48
93	648	41
94	654	34
95	659	27
96	664	20
97	670	13
98	675	6
99	681	0
